,R,elneg,vdw,polar
0,2.0,0.204921,0.085614,0.241924
1,2.25,0.228133,0.103276,0.276048
2,2.5,0.025416,0.007322,0.023791
3,2.75,0.348614,0.017549,0.178399
4,3.0,0.408453,0.367285,0.331536
5,3.25,0.113989,0.803969,0.272416
6,3.5,0.128986,0.337902,0.20113
7,3.75,0.190513,0.058739,0.191144
8,4.0,0.101125,0.022785,0.077083
9,4.25,0.132893,0.012626,0.077558
10,4.5,0.083047,0.076462,0.101993
11,4.75,0.312677,0.193593,0.31086
12,5.0,0.232452,0.305813,0.197107
13,5.25,0.112369,0.052181,0.090414
14,5.5,0.180271,0.264549,0.202437
15,5.75,0.012739,0.076185,0.027182
16,6.0,0.087087,0.340863,0.157451
17,6.25,0.119628,0.224982,0.173914
18,6.5,0.295746,0.126118,0.207926
19,6.75,0.117834,0.051388,0.13359
20,7.0,0.157768,0.01836,0.103402
21,7.25,0.110083,0.040971,0.124364
22,7.5,0.12088,0.034928,0.110416
23,7.75,0.146374,0.144935,0.114622
24,8.0,0.026276,0.218676,0.068476
25,8.25,0.001726,0.012926,0.004816
26,8.5,0.0,2e-06,1e-06
27,8.75,0.0,0.0,0.0
28,9.0,0.0,0.0,0.0
29,9.25,0.0,0.0,0.0
30,9.5,0.0,0.0,0.0
31,9.75,0.0,0.0,0.0
32,10.0,0.0,0.0,0.0
33,10.25,0.0,0.0,0.0
34,10.5,0.0,0.0,0.0
35,10.75,0.0,0.0,0.0
36,11.0,0.0,0.0,0.0
37,11.25,0.0,0.0,0.0
38,11.5,0.0,0.0,0.0
39,11.75,0.0,0.0,0.0
40,12.0,0.0,0.0,0.0
41,12.25,0.0,0.0,0.0
42,12.5,0.0,0.0,0.0
43,12.75,0.0,0.0,0.0
44,13.0,0.0,0.0,0.0
45,13.25,0.0,0.0,0.0
46,13.5,0.0,0.0,0.0
47,13.75,0.0,0.0,0.0
48,14.0,0.0,0.0,0.0
49,14.25,0.0,0.0,0.0
50,14.5,0.0,0.0,0.0
51,14.75,0.0,0.0,0.0
52,15.0,0.0,0.0,0.0
