,R,elneg,vdw,polar
0,2.0,0.056862,0.033375,0.09372
1,2.25,0.026549,0.015309,0.043224
2,2.5,0.047299,0.001599,0.025512
3,2.75,0.294405,0.124317,0.178752
4,3.0,0.242141,0.100829,0.146858
5,3.25,0.063105,0.121798,0.074087
6,3.5,0.104754,0.568056,0.240402
7,3.75,0.104771,0.150803,0.168125
8,4.0,0.105582,0.005266,0.059902
9,4.25,0.032888,0.002767,0.021981
10,4.5,0.044851,0.025806,0.072912
11,4.75,0.098821,0.045285,0.132103
12,5.0,0.239572,0.126228,0.158878
13,5.25,0.129574,0.156263,0.099404
14,5.5,0.026329,0.155011,0.060409
15,5.75,0.065701,0.167806,0.074696
16,6.0,0.154527,0.276785,0.161341
17,6.25,0.123145,0.070463,0.176273
18,6.5,0.11546,0.020526,0.098232
19,6.75,0.03356,0.000591,0.018079
20,7.0,0.010782,0.000345,0.006111
21,7.25,0.040456,0.011689,0.042783
22,7.5,0.142854,0.071978,0.172124
23,7.75,0.211963,0.061564,0.151797
24,8.0,0.163552,0.217926,0.148072
25,8.25,0.018465,0.05747,0.028727
26,8.5,0.009729,0.004161,0.005977
27,8.75,0.078169,0.053827,0.056556
28,9.0,0.176873,0.318497,0.2191
29,9.25,0.172779,0.256875,0.2186
30,9.5,0.059172,0.008081,0.040102
31,9.75,0.036525,0.000862,0.020102
32,10.0,0.008796,0.001958,0.008251
33,10.25,0.038106,0.019598,0.049096
34,10.5,0.186212,0.111388,0.197835
35,10.75,0.169623,0.154967,0.144336
36,11.0,0.032971,0.119507,0.047532
37,11.25,0.003151,0.006359,0.005227
38,11.5,0.007827,0.007761,0.005593
39,11.75,0.074116,0.124197,0.069138
40,12.0,0.085814,0.061698,0.0997
41,12.25,0.059006,0.015774,0.060267
42,12.5,0.01138,0.00119,0.008058
43,12.75,0.007978,0.000113,0.004245
44,13.0,0.002882,4e-05,0.001532
45,13.25,0.003992,0.000234,0.002171
46,13.5,0.038795,0.046249,0.032026
47,13.75,0.035437,0.068,0.041994
48,14.0,0.002682,0.028402,0.007972
49,14.25,1.7e-05,0.000405,8.5e-05
50,14.5,0.0,0.0,0.0
51,14.75,0.0,0.0,0.0
52,15.0,0.0,0.0,0.0
