,R,elneg,vdw,polar
0,2.0,0.085411,0.113234,0.127874
1,2.25,0.039113,0.042259,0.052245
2,2.5,0.172382,0.020613,0.116141
3,2.75,0.107156,0.053584,0.08104
4,3.0,0.205955,0.014935,0.136285
5,3.25,0.081562,0.28452,0.110016
6,3.5,0.132893,0.257142,0.175082
7,3.75,0.21691,0.480996,0.209322
8,4.0,0.230123,0.120687,0.238336
9,4.25,0.270502,0.135262,0.278201
10,4.5,0.22677,0.140672,0.252326
11,4.75,0.121027,0.037459,0.098126
12,5.0,0.129391,0.14429,0.134273
13,5.25,0.224897,0.093825,0.208379
14,5.5,0.246996,0.197265,0.230713
15,5.75,0.181652,0.613784,0.228445
16,6.0,0.166289,0.123784,0.142398
17,6.25,0.182439,0.202025,0.189867
18,6.5,0.184122,0.100214,0.175493
19,6.75,0.205235,0.139816,0.210058
20,7.0,0.067082,0.036751,0.073834
21,7.25,0.123934,0.138746,0.137958
22,7.5,0.142562,0.205417,0.148698
23,7.75,0.134601,0.079769,0.143829
24,8.0,0.079191,0.009828,0.056787
25,8.25,0.014911,0.103085,0.017943
26,8.5,0.01313,0.009768,0.009368
27,8.75,0.011114,0.034284,0.009993
28,9.0,0.002643,0.065738,0.006945
29,9.25,7e-06,0.000247,2.4e-05
30,9.5,0.0,0.0,0.0
31,9.75,0.0,0.0,0.0
32,10.0,0.0,0.0,0.0
33,10.25,0.0,0.0,0.0
34,10.5,0.0,0.0,0.0
35,10.75,0.0,0.0,0.0
36,11.0,0.0,0.0,0.0
37,11.25,0.0,0.0,0.0
38,11.5,0.0,0.0,0.0
39,11.75,0.0,0.0,0.0
40,12.0,0.0,0.0,0.0
41,12.25,0.0,0.0,0.0
42,12.5,0.0,0.0,0.0
43,12.75,0.0,0.0,0.0
44,13.0,0.0,0.0,0.0
45,13.25,0.0,0.0,0.0
46,13.5,0.0,0.0,0.0
47,13.75,0.0,0.0,0.0
48,14.0,0.0,0.0,0.0
49,14.25,0.0,0.0,0.0
50,14.5,0.0,0.0,0.0
51,14.75,0.0,0.0,0.0
52,15.0,0.0,0.0,0.0
